id,borrower_id,loan_id,note_type,visit_date,note_text,field_agent_name,nlp_analysis_status
22,13,,business_observation,2025-10-22,Pertemuan dengan Ibu Michelle di rumah yang juga jadi tempat usaha Warung Kelontong (Small Shop). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 13.1 tahun dengan pelanggan yang lumayan stabil. Pendidikan D3 bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,Ibu R.A. Eva Agustina,pending
23,14,,follow_up,2025-08-30,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat sepi tapi stabil. Ibu Gawati menjelaskan omzet harian sekitar Rp 124,443 tergantung hari. Modal kerja harian sekitar Rp 1,493,314 untuk beli bahan baku dan stok. Sewa tempat bulanan. Peralatan usaha ada yang perlu diganti.",Ibu Marsito Wahyuni,pending
24,15,,initial_visit,2025-09-21,Pertemuan dengan Ibu Violet di rumah yang juga jadi tempat usaha Warung Kelontong (Small Shop). Rumah cukup layak dengan kondisi terawat. Usaha sudah berjalan 1.4 tahun dengan pelanggan yang lumayan stabil. Pendidikan D3 bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,Ibu Rendy Adriansyah,pending
25,16,,follow_up,2025-09-22,"Kunjungan ke usaha Warung Kelontong (Small Shop) milik Ibu Zulfa Siregar. Usaha terletak di Desa Margahayu Garut. Ibu Zulfa menceritakan penghasilan sekitar Rp 3,633,142 per bulan atau sekitar Rp 121,105 per hari. Sudah menjalankan usaha selama 3.9 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.","Ibu Genta Mulyani, S.T.",pending
26,17,,initial_visit,2025-10-26,"Observasi bisnis Warung Kelontong (Small Shop). Usaha terlihat sepi tapi stabil. Ibu Zamira menjelaskan omzet harian sekitar Rp 139,484 tergantung hari. Modal kerja harian sekitar Rp 1,673,804 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Ibu Fitriani Hutasoit,pending
27,18,,follow_up,2025-10-24,"Kunjungan ke usaha Warung Kelontong (Small Shop) milik Ibu Farah Puspita. Usaha terletak di Desa Bojongsoang Bandung. Ibu Farah menceritakan penghasilan sekitar Rp 4,704,670 per bulan atau sekitar Rp 156,822 per hari. Sudah menjalankan usaha selama 14.2 tahun. Sudah punya buku catatan sederhana. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Ibu Fitriani Lestari,pending
28,19,,follow_up,2025-09-18,"Kunjungan ke usaha Warung Gorengan (Fried Snacks Stall) milik Ibu Nilam Safitri. Usaha terletak di Desa Bojongsoang Garut. Ibu Nilam menceritakan penghasilan sekitar Rp 2,914,480 per bulan atau sekitar Rp 97,149 per hari. Sudah menjalankan usaha selama 1.0 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Ibu Yunita Nashiruddin,pending
29,19,,follow_up,2025-11-08,"Observasi bisnis Warung Gorengan (Fried Snacks Stall). Usaha terlihat ramai dengan pelanggan tetap. Ibu Nilam menjelaskan omzet harian sekitar Rp 97,149 tergantung hari. Modal kerja harian sekitar Rp 1,165,792 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha ada yang perlu diganti.",Bapak Marsudi Puspita,pending
30,20,,business_observation,2025-09-10,"Observasi bisnis Warung Gorengan (Fried Snacks Stall). Usaha terlihat sepi tapi stabil. Ibu Citra menjelaskan omzet harian sekitar Rp 75,974 tergantung hari. Modal kerja harian sekitar Rp 911,693 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Bapak Edison Permadi,pending
31,21,,follow_up,2025-08-30,"Observasi bisnis Warung Gorengan (Fried Snacks Stall). Usaha terlihat sepi tapi stabil. Ibu Raina menjelaskan omzet harian sekitar Rp 90,238 tergantung hari. Modal kerja harian sekitar Rp 1,082,862 untuk beli bahan baku dan stok. Sewa tempat bulanan. Peralatan usaha dalam kondisi baik.",Ibu Eko Ramadan,pending
32,22,,follow_up,2025-10-24,Pertemuan dengan Ibu Karen di rumah yang juga jadi tempat usaha Warung Gorengan (Fried Snacks Stall). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 10.3 tahun dengan pelanggan tetap dan loyal. Pendidikan D3 bisa baca tulis dan hitung dengan baik. Agak tertutup tapi mau bekerja sama saat wawancara.,Ibu Ulya Rajasa,pending
33,22,,business_observation,2025-10-22,Pertemuan dengan Ibu Karen di rumah yang juga jadi tempat usaha Warung Gorengan (Fried Snacks Stall). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 10.3 tahun dengan pelanggan yang lumayan stabil. Pendidikan D3 bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,"Ibu R.A. Eka Anggraini, S.Pd",pending
34,23,,follow_up,2025-09-07,Pertemuan dengan Ibu Fitria di rumah yang juga jadi tempat usaha Warung Gorengan (Fried Snacks Stall). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 10.5 tahun dengan pelanggan tetap dan loyal. Pendidikan SMA bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,"Bapak Puti Hafshah Prabowo, M.Farm",pending
35,24,,initial_visit,2025-11-11,Pertemuan dengan Ibu Ira di rumah yang juga jadi tempat usaha Warung Gorengan (Fried Snacks Stall). Rumah cukup layak dengan kondisi terawat. Usaha sudah berjalan 2.5 tahun dengan pelanggan tetap dan loyal. Pendidikan SMP bisa baca tulis dan hitung dengan baik. Agak tertutup tapi mau bekerja sama saat wawancara.,"Ibu Tgk. Ibrani Utama, S.I.Kom",pending
36,25,,business_observation,2025-09-12,"Kunjungan ke usaha Warung Gorengan (Fried Snacks Stall) milik Ibu Ciaobella Yolanda. Usaha terletak di Desa Cipanas Bandung. Ibu Ciaobella menceritakan penghasilan sekitar Rp 2,576,790 per bulan atau sekitar Rp 85,893 per hari. Sudah menjalankan usaha selama 9.5 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.","Bapak Hj. Dina Kuswoyo, S.Farm",pending
37,26,,initial_visit,2025-09-06,"Kunjungan ke usaha Warung Gorengan (Fried Snacks Stall) milik Ibu Jelita Irawan. Usaha terletak di Desa Sukamaju Bandung. Ibu Jelita menceritakan penghasilan sekitar Rp 2,763,980 per bulan atau sekitar Rp 92,133 per hari. Sudah menjalankan usaha selama 14.0 tahun. Sudah punya buku catatan sederhana. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Ibu Kartika Nainggolan,pending
38,27,,follow_up,2025-09-10,"Observasi bisnis Warung Gorengan (Fried Snacks Stall). Usaha terlihat ramai dengan pelanggan tetap. Ibu Septi menjelaskan omzet harian sekitar Rp 72,875 tergantung hari. Modal kerja harian sekitar Rp 874,502 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha ada yang perlu diganti.",Ibu Belinda Kusumo,pending
39,27,,follow_up,2025-09-16,Pertemuan dengan Ibu Septi di rumah yang juga jadi tempat usaha Warung Gorengan (Fried Snacks Stall). Rumah cukup layak dengan kondisi terawat. Usaha sudah berjalan 4.7 tahun dengan pelanggan tetap dan loyal. Pendidikan SMP bisa baca tulis dan hitung dengan baik. Agak tertutup tapi mau bekerja sama saat wawancara.,Bapak Bella Puspita,pending
40,28,,initial_visit,2025-11-07,"Kunjungan ke usaha Warung Gorengan (Fried Snacks Stall) milik Ibu Wirda Rahmawati. Usaha terletak di Desa Sukamaju Sumedang. Ibu Wirda menceritakan penghasilan sekitar Rp 2,660,081 per bulan atau sekitar Rp 88,669 per hari. Sudah menjalankan usaha selama 1.8 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Ibu Gasti Maryadi,pending
41,28,,business_observation,2025-11-09,Pertemuan dengan Ibu Wirda di rumah yang juga jadi tempat usaha Warung Gorengan (Fried Snacks Stall). Rumah cukup layak dengan kondisi terawat. Usaha sudah berjalan 1.8 tahun dengan pelanggan tetap dan loyal. Pendidikan SD bisa baca tulis dasar. Transparan dan kooperatif saat wawancara.,Ibu Elisa Maheswara,pending
42,29,,business_observation,2025-09-10,"Observasi bisnis Warung Gorengan (Fried Snacks Stall). Usaha terlihat sepi tapi stabil. Ibu Mutia menjelaskan omzet harian sekitar Rp 76,864 tergantung hari. Modal kerja harian sekitar Rp 922,365 untuk beli bahan baku dan stok. Sewa tempat bulanan. Peralatan usaha dalam kondisi baik.",Ibu Tgk. Eja Maheswara,pending
43,30,,follow_up,2025-11-12,"Observasi bisnis Jahit Pakaian (Tailoring). Usaha terlihat sepi tapi stabil. Ibu Halima menjelaskan omzet harian sekitar Rp 98,646 tergantung hari. Modal kerja harian sekitar Rp 1,183,758 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha ada yang perlu diganti.","Ibu Ir. Malika Pratama, M.Pd",pending
44,31,,follow_up,2025-10-07,Pertemuan dengan Ibu Intan di rumah yang juga jadi tempat usaha Jahit Pakaian (Tailoring). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 5.1 tahun dengan pelanggan tetap dan loyal. Pendidikan D3 bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,Bapak Latika Puspasari,pending
45,31,,initial_visit,2025-10-14,Pertemuan dengan Ibu Intan di rumah yang juga jadi tempat usaha Jahit Pakaian (Tailoring). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 5.1 tahun dengan pelanggan tetap dan loyal. Pendidikan D3 bisa baca tulis dan hitung dengan baik. Agak tertutup tapi mau bekerja sama saat wawancara.,Ibu Gandi Suryatmi,pending
46,32,,follow_up,2025-10-24,"Kunjungan ke usaha Jahit Pakaian (Tailoring) milik Ibu Karen Simbolon. Usaha terletak di Desa Bojongsoang Cianjur. Ibu Karen menceritakan penghasilan sekitar Rp 3,311,938 per bulan atau sekitar Rp 110,398 per hari. Sudah menjalankan usaha selama 10.6 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Bapak Nardi Laksmiwati,pending
47,33,,business_observation,2025-09-16,"Observasi bisnis Jahit Pakaian (Tailoring). Usaha terlihat sepi tapi stabil. Ibu Vera menjelaskan omzet harian sekitar Rp 84,247 tergantung hari. Modal kerja harian sekitar Rp 1,010,969 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.","Ibu Citra Gunawan, S.Psi",pending
48,33,,follow_up,2025-10-11,"Observasi bisnis Jahit Pakaian (Tailoring). Usaha terlihat ramai dengan pelanggan tetap. Ibu Vera menjelaskan omzet harian sekitar Rp 84,247 tergantung hari. Modal kerja harian sekitar Rp 1,010,969 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Bapak Zizi Marbun,pending
49,34,,follow_up,2025-09-03,"Kunjungan ke usaha Jahit Pakaian (Tailoring) milik Ibu Titi Puspita. Usaha terletak di Desa Rancaekek Majalengka. Ibu Titi menceritakan penghasilan sekitar Rp 3,458,730 per bulan atau sekitar Rp 115,291 per hari. Sudah menjalankan usaha selama 0.6 tahun. Sudah punya buku catatan sederhana. Sikap kooperatif dan terbuka menceritakan kondisi usaha.","Bapak Ir. Kacung Palastri, S.Gz",pending
50,34,,initial_visit,2025-08-31,"Kunjungan ke usaha Jahit Pakaian (Tailoring) milik Ibu Titi Puspita. Usaha terletak di Desa Rancaekek Majalengka. Ibu Titi menceritakan penghasilan sekitar Rp 3,458,730 per bulan atau sekitar Rp 115,291 per hari. Sudah menjalankan usaha selama 0.6 tahun. Sudah punya buku catatan sederhana. Sikap kooperatif dan terbuka menceritakan kondisi usaha.","Ibu R. Gawati Permata, M.Farm",pending
51,35,,business_observation,2025-11-11,Pertemuan dengan Ibu Intan di rumah yang juga jadi tempat usaha Jahit Pakaian (Tailoring). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 14.7 tahun dengan pelanggan tetap dan loyal. Pendidikan SMA bisa baca tulis dan hitung dengan baik. Transparan dan kooperatif saat wawancara.,Ibu Emil Maulana,pending
52,35,,follow_up,2025-09-03,"Observasi bisnis Jahit Pakaian (Tailoring). Usaha terlihat ramai dengan pelanggan tetap. Ibu Intan menjelaskan omzet harian sekitar Rp 124,029 tergantung hari. Modal kerja harian sekitar Rp 1,488,348 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Bapak Hj. Talia Habibi,pending
53,36,,business_observation,2025-08-29,"Observasi bisnis Jahit Pakaian (Tailoring). Usaha terlihat sepi tapi stabil. Ibu Julia menjelaskan omzet harian sekitar Rp 109,875 tergantung hari. Modal kerja harian sekitar Rp 1,318,496 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha ada yang perlu diganti.",Ibu Sutan Irwan Kurniawan,pending
54,36,,business_observation,2025-09-26,"Observasi bisnis Jahit Pakaian (Tailoring). Usaha terlihat sepi tapi stabil. Ibu Julia menjelaskan omzet harian sekitar Rp 109,875 tergantung hari. Modal kerja harian sekitar Rp 1,318,496 untuk beli bahan baku dan stok. Sewa tempat bulanan. Peralatan usaha ada yang perlu diganti.",Bapak Hj. Ella Permadi,pending
55,37,,initial_visit,2025-10-24,"Observasi bisnis Jahit Pakaian (Tailoring). Usaha terlihat sepi tapi stabil. Ibu Rachel menjelaskan omzet harian sekitar Rp 125,713 tergantung hari. Modal kerja harian sekitar Rp 1,508,550 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.","Bapak Laras Sihotang, S.Pt",pending
56,37,,follow_up,2025-10-30,"Observasi bisnis Jahit Pakaian (Tailoring). Usaha terlihat ramai dengan pelanggan tetap. Ibu Rachel menjelaskan omzet harian sekitar Rp 125,713 tergantung hari. Modal kerja harian sekitar Rp 1,508,550 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha ada yang perlu diganti.",Ibu Erik Natsir,pending
57,38,,follow_up,2025-10-17,Pertemuan dengan Ibu Aisyah di rumah yang juga jadi tempat usaha Jahit Pakaian (Tailoring). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 5.1 tahun dengan pelanggan tetap dan loyal. Pendidikan SMP bisa baca tulis dan hitung dengan baik. Agak tertutup tapi mau bekerja sama saat wawancara.,Ibu Ami Yuniar,pending
58,38,,business_observation,2025-10-21,"Kunjungan ke usaha Jahit Pakaian (Tailoring) milik Ibu Aisyah Prabowo. Usaha terletak di Desa Sindanglaya Garut. Ibu Aisyah menceritakan penghasilan sekitar Rp 3,355,265 per bulan atau sekitar Rp 111,842 per hari. Sudah menjalankan usaha selama 5.1 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Ibu Mutia Usamah,pending
59,39,,initial_visit,2025-08-26,"Observasi bisnis Jualan Sayur (Vegetable Vendor). Usaha terlihat sepi tapi stabil. Ibu Iriana menjelaskan omzet harian sekitar Rp 79,312 tergantung hari. Modal kerja harian sekitar Rp 951,747 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha ada yang perlu diganti.",Bapak Cakrawala Anggraini,pending
60,40,,initial_visit,2025-10-03,"Kunjungan ke usaha Jualan Sayur (Vegetable Vendor) milik Ibu Najwa Nasyiah. Usaha terletak di Desa Sindanglaya Tasikmalaya. Ibu Najwa menceritakan penghasilan sekitar Rp 1,780,336 per bulan atau sekitar Rp 59,345 per hari. Sudah menjalankan usaha selama 11.1 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Ibu Michelle Napitupulu,pending
61,41,,follow_up,2025-09-09,"Observasi bisnis Jualan Sayur (Vegetable Vendor). Usaha terlihat sepi tapi stabil. Ibu Zelda menjelaskan omzet harian sekitar Rp 61,121 tergantung hari. Modal kerja harian sekitar Rp 733,455 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Ibu drg. Sidiq Winarsih,pending
62,41,,initial_visit,2025-11-06,"Kunjungan ke usaha Jualan Sayur (Vegetable Vendor) milik Ibu Zelda Winarsih. Usaha terletak di Desa Rancaekek Cianjur. Ibu Zelda menceritakan penghasilan sekitar Rp 1,833,638 per bulan atau sekitar Rp 61,121 per hari. Sudah menjalankan usaha selama 10.1 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.",Bapak Luwar Nababan,pending
63,42,,follow_up,2025-11-14,"Observasi bisnis Jualan Sayur (Vegetable Vendor). Usaha terlihat sepi tapi stabil. Ibu Qori menjelaskan omzet harian sekitar Rp 58,509 tergantung hari. Modal kerja harian sekitar Rp 702,106 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Ibu Jatmiko Wijayanti,pending
64,42,,follow_up,2025-10-25,Pertemuan dengan Ibu Qori di rumah yang juga jadi tempat usaha Jualan Sayur (Vegetable Vendor). Rumah sederhana ukuran 6x8 meter dinding tembok setengah bata. Usaha sudah berjalan 13.9 tahun dengan pelanggan tetap dan loyal. Pendidikan SMA bisa baca tulis dan hitung dengan baik. Agak tertutup tapi mau bekerja sama saat wawancara.,Ibu Umi Permadi,pending
65,43,,business_observation,2025-10-17,"Observasi bisnis Jualan Sayur (Vegetable Vendor). Usaha terlihat ramai dengan pelanggan tetap. Ibu Anita menjelaskan omzet harian sekitar Rp 74,735 tergantung hari. Modal kerja harian sekitar Rp 896,823 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha dalam kondisi baik.",Ibu Asmadi Lailasari,pending
66,44,,initial_visit,2025-09-17,"Kunjungan ke usaha Jualan Sayur (Vegetable Vendor) milik Ibu Shania Ramadan. Usaha terletak di Desa Bojongsoang Sumedang. Ibu Shania menceritakan penghasilan sekitar Rp 1,817,644 per bulan atau sekitar Rp 60,588 per hari. Sudah menjalankan usaha selama 9.0 tahun. Belum punya catatan keuangan yang rapi. Sikap kooperatif dan terbuka menceritakan kondisi usaha.","Ibu Bagiya Yolanda, S.Psi",pending
67,44,,business_observation,2025-08-22,"Observasi bisnis Jualan Sayur (Vegetable Vendor). Usaha terlihat ramai dengan pelanggan tetap. Ibu Shania menjelaskan omzet harian sekitar Rp 60,588 tergantung hari. Modal kerja harian sekitar Rp 727,058 untuk beli bahan baku dan stok. Sewa tempat bulanan. Peralatan usaha dalam kondisi baik.",Ibu Widya Zulaika,pending
68,45,,business_observation,2025-11-04,"Observasi bisnis Jualan Sayur (Vegetable Vendor). Usaha terlihat ramai dengan pelanggan tetap. Ibu Rahayu menjelaskan omzet harian sekitar Rp 59,908 tergantung hari. Modal kerja harian sekitar Rp 718,892 untuk beli bahan baku dan stok. Tempat usaha milik sendiri. Peralatan usaha ada yang perlu diganti.","Bapak Titin Prasetya, S.Kom",pending
