id,full_name,age,gender,village,district,province,business_type,business_description,claimed_monthly_income,years_in_business,marital_status,num_dependents,education_level,phone_number,has_bank_account,keeps_financial_records,financial_literacy_score
47,Ibu Vicky Anggriawan,42,Female,Desa Cipanas,Sumedang,Jawa Barat,Usaha Catering Rumahan (Home Catering),Catering rumahan dengan menu nasi box dan nasi tumpeng untuk acara kecil-menengah,3001320,9.3,Janda,2,SD,089038387436,True,False,25
48,Ibu Cinta Anggriawan,37,Female,Desa Cipanas,Majalengka,Jawa Barat,Usaha Catering Rumahan (Home Catering),Catering rumahan dengan menu nasi box dan nasi tumpeng untuk acara kecil-menengah,3864981,8.8,Janda,5,SD,082639402631,False,False,66
49,Ibu Hamima Lazuardi,47,Female,Desa Bojongsoang,Cianjur,Jawa Barat,Usaha Catering Rumahan (Home Catering),Usaha katering spesial masakan Sunda sering dapat pesanan event kantor,3519677,13.5,Janda,5,SMP,086259530270,False,False,42
50,Ibu Tina Riyanti,40,Female,Desa Sindanglaya,Cianjur,Jawa Barat,Usaha Catering Rumahan (Home Catering),Catering rumahan dengan menu nasi box dan nasi tumpeng untuk acara kecil-menengah,5825562,0.7,Janda,1,SMA,089908560560,True,True,53
51,Ibu Unjani Narpati,38,Female,Desa Cikalong,Majalengka,Jawa Barat,Usaha Catering Rumahan (Home Catering),Terima pesanan nasi kotak untuk acara arisan syukuran atau ulang tahun,5089982,10.5,Janda,5,SMP,081264940969,False,True,46
52,Ibu Shania Suwarno,29,Female,Desa Cikalong,Tasikmalaya,Jawa Barat,Salon Rumahan (Home Salon),Usaha salon rumahan buka setiap hari kecuali Minggu,3161992,13.2,Lajang,1,SMA,082888294360,True,False,27
53,Ibu Padma Winarno,50,Female,Desa Cikalong,Garut,Jawa Barat,Salon Rumahan (Home Salon),Salon kecil untuk wanita layanan potong dan perawatan rambut dasar,2641217,1.1,Menikah,4,SMP,083324427970,True,True,64
54,Ibu Anita Ardianto,34,Female,Desa Sindanglaya,Majalengka,Jawa Barat,Salon Rumahan (Home Salon),Salon kecil untuk wanita layanan potong dan perawatan rambut dasar,3925189,12.1,Janda,0,SMA,085282530535,True,False,27
55,Ibu Puti Fujiati,31,Female,Desa Sindanglaya,Bandung,Jawa Barat,Salon Rumahan (Home Salon),Usaha salon rumahan buka setiap hari kecuali Minggu,2815199,9.8,Janda,4,SMA,088830144812,True,True,30
56,Ibu Padmi Prakasa,46,Female,Desa Cipanas,Cianjur,Jawa Barat,Salon Rumahan (Home Salon),Salon kecil untuk wanita layanan potong dan perawatan rambut dasar,2333664,6.5,Janda,0,D3,088825255621,True,False,71
57,Ibu Samiah Iswahyudi,36,Female,Desa Cikalong,Sumedang,Jawa Barat,Toko Pulsa & Aksesoris HP (Mobile Shop),Jual pulsa paket data dan aksesoris HP. Buka dari pagi sampai malam,3556947,1.3,Menikah,5,SD,088902643948,False,True,77
58,Ibu Zelaya Prasetya,25,Female,Desa Cikalong,Majalengka,Jawa Barat,Toko Pulsa & Aksesoris HP (Mobile Shop),Counter HP untuk jual pulsa token listrik dan aksesoris handphone,2542169,2.7,Menikah,3,SMA,084222086680,False,True,23
59,Ibu Ophelia Damanik,52,Female,Desa Cikalong,Garut,Jawa Barat,Toko Pulsa & Aksesoris HP (Mobile Shop),Counter HP untuk jual pulsa token listrik dan aksesoris handphone,2508248,0.9,Janda,3,D3,088575735733,True,True,66
60,Ibu Maimunah Damanik,31,Female,Desa Sindanglaya,Garut,Jawa Barat,Toko Pulsa & Aksesoris HP (Mobile Shop),Toko pulsa lengkap dengan service HP ringan dan aksesoris,3852077,5.6,Menikah,0,SMP,081264384556,True,False,51
61,Ibu Yuliana Oktaviani,53,Female,Desa Bojongsoang,Bandung,Jawa Barat,Warung Nasi/Lauk Pauk (Food Stall),Jual nasi dengan berbagai lauk pelanggan buruh pabrik dan ojek online,3362268,11.2,Menikah,3,SMA,086334838011,True,False,49
62,Ibu Diah Marpaung,27,Female,Desa Sindanglaya,Majalengka,Jawa Barat,Warung Nasi/Lauk Pauk (Food Stall),Jual nasi dengan berbagai lauk pelanggan buruh pabrik dan ojek online,3304762,5.3,Menikah,3,SD,086179314337,True,True,33
63,Ibu Indah Lestari,29,Female,Desa Margahayu,Majalengka,Jawa Barat,Warung Nasi/Lauk Pauk (Food Stall),Jual nasi dengan berbagai lauk pelanggan buruh pabrik dan ojek online,4193890,3.9,Menikah,4,D3,085941861792,False,False,49
64,Ibu Keisha Hidayat,32,Female,Desa Cikalong,Garut,Jawa Barat,Warung Nasi/Lauk Pauk (Food Stall),Warung nasi dengan lauk pauk lengkap buka dari siang sampai sore,4988991,6.4,Janda,4,SMP,086713709097,True,False,27
65,Ibu Indah Mardhiyah,44,Female,Desa Sindanglaya,Cianjur,Jawa Barat,Warung Nasi/Lauk Pauk (Food Stall),Warung nasi dengan lauk pauk lengkap buka dari siang sampai sore,3045914,8.4,Janda,1,SMP,083357012221,False,False,29
66,Ibu Elisa Putra,42,Female,Desa Rancaekek,Tasikmalaya,Jawa Barat,Warung Nasi/Lauk Pauk (Food Stall),Warung makan sederhana dengan menu nasi campur dan nasi goreng,3903021,6.3,Menikah,3,SD,085869327701,False,True,25
67,Ibu Mala Permata,26,Female,Desa Sukamaju,Sumedang,Jawa Barat,Warung Nasi/Lauk Pauk (Food Stall),Jual nasi dengan berbagai lauk pelanggan buruh pabrik dan ojek online,4692134,0.6,Lajang,4,SMA,085064901796,True,False,71
68,Ibu Yance Suwarno,45,Female,Desa Cikalong,Cianjur,Jawa Barat,Industri Rumahan Kerupuk (Home Snack Industry),Produksi kerupuk mentah untuk dijual ke warung-warung sekitar,2219659,5.5,Menikah,2,SD,086987425569,False,True,69
69,Ibu Olivia Siregar,53,Female,Desa Sindanglaya,Bandung,Jawa Barat,Industri Rumahan Kerupuk (Home Snack Industry),Usaha kerupuk rumahan produksi 10-20kg per minggu,3457569,13.5,Janda,0,D3,082566064834,False,False,60
70,Ibu Diah Maulana,50,Female,Desa Cikalong,Majalengka,Jawa Barat,Industri Rumahan Kerupuk (Home Snack Industry),Produksi kerupuk mentah untuk dijual ke warung-warung sekitar,3374447,10.7,Menikah,1,SMP,088344372957,False,False,40
71,Ibu Kezia Haryanto,35,Female,Desa Sukamaju,Cianjur,Jawa Barat,Industri Rumahan Kerupuk (Home Snack Industry),Industri rumah tangga bikin kerupuk dan keripik untuk dijual grosir,3038809,10.0,Lajang,0,SD,082929777708,True,False,76
72,Ibu Chelsea Pertiwi,51,Female,Desa Margahayu,Tasikmalaya,Jawa Barat,Industri Rumahan Kerupuk (Home Snack Industry),Industri rumah tangga bikin kerupuk dan keripik untuk dijual grosir,2344023,7.5,Menikah,4,D3,087377263601,True,False,24
73,Ibu Endah Firgantoro,38,Female,Desa Sindanglaya,Tasikmalaya,Jawa Barat,Salon Rumahan (Home Salon),Salon di rumah untuk potong rambut creambath dan cat rambut,3369311,11.7,Janda,4,SMA,088408186367,True,True,31
74,Ibu Michelle Setiawan,30,Female,Desa Sindanglaya,Sumedang,Jawa Barat,Jahit Pakaian (Tailoring),Terima jahit baju celana dan rok untuk warga sekitar. Punya mesin jahit manual,2506382,10.6,Lajang,5,SMA,084103694357,False,False,68
75,Ibu Oliva Mardhiyah,38,Female,Desa Rancaekek,Majalengka,Jawa Barat,Jahit Pakaian (Tailoring),Usaha jahit pakaian custom dan perbaikan baju. Sudah punya pelanggan tetap,3772814,6.0,Lajang,3,SD,084411628145,False,False,22
